,tweet_count,rt_avg,rt_var,time_avg,time_var,tag_obama_sum,tag_criminal_sum,tag_thanks_sum,tag_america_sum,tag_china_sum,tag_money_sum,tag_president_sum,tag_democrat_sum,tag_trump_sum,tag_vote_sum,tag_jobs_sum,prior_tag_liberal_sum,prior_tag_republican_sum,prior_tag_foreign_sum,prior_tag_policy_sum,prior_tag_mexico_sum,prior_tag_china_sum,prior_tag_russia_sum,prior_tag_obama_sum,prior_tag_taxes_sum,prior_tag_media_sum,is_weekend,delta
30,1,0.028579701673486176,0.0,1373.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0.10070999999999941
31,6,0.04539213988294979,0.0003136131014079272,561.1666666666666,196388.56666666665,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,False,-0.10885999999999285
32,7,0.07959883960078803,0.0019832115898438508,895.2857142857143,155626.2380952381,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,2,True,-0.050130000000002894
33,4,0.05496877097270031,0.00010716864125316536,926.0,71911.33333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,True,0.02808000000000277
34,2,0.040670801671321255,1.9942886841196355e-06,1167.0,39762.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False,-0.03156000000000603
35,1,0.02986783139572644,0.0,163.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.8161899999999989
36,3,0.0405138446883592,0.000858315560555273,336.6666666666667,173797.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.04477999999999582
37,1,0.10085298001775238,0.0,660.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0.191989999999997
38,13,0.05788735900933083,0.0017531966675032318,805.7692307692307,242697.85897435897,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,False,0.0
39,7,0.10124769203648208,0.0009588991854611071,717.8571428571429,1417.142857142857,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,True,0.034669999999998424
